# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ILQFULOCMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,17
# x,y,z,u,w
2.999520086539948949e+00, 4.745990645758391135e-01, -4.442004401371163480e-01, 1.199999999999999956e+00, 5.000000000000000000e-01
2.998382893360251433e+00, 2.537062752427229895e-01, -4.884578063276905913e-01, 1.199999999999999956e+00, 7.500000000000000000e-01
2.997674333016314030e+00, 1.223048234475704704e-17, -4.974257137688473662e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
2.998382893360251877e+00, -2.537062752427229895e-01, -4.884578063276905913e-01, 1.199999999999999956e+00, 1.250000000000000000e+00
2.999520086539948949e+00, -4.745990645758391135e-01, -4.442004401371163480e-01, 1.199999999999999956e+00, 1.500000000000000000e+00
3.000075950281404058e+00, -5.308342005110743278e-01, -2.306209760655939522e-01, 1.199999999999999956e+00, 1.750000000000000000e+00
3.000136127998745295e+00, -5.667600000000000415e-01, -4.839657320329156737e-20, 1.199999999999999956e+00, 2.000000000000000000e+00
3.000075950281404058e+00, -5.776721332148516685e-01, 1.822264998206507558e-01, 1.199999999999999956e+00, 2.250000000000000000e+00
2.999520086539948949e+00, -5.120983146435444944e-01, 3.449957530233324632e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
2.998382893360251877e+00, -3.113535190304875244e-01, 4.813706825547292567e-01, 1.199999999999999956e+00, 2.750000000000000000e+00
2.997674333016313586e+00, -7.279125529642221114e-18, 4.974257137688473662e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
2.998382893360251877e+00, 3.113535190304874689e-01, 4.813706825547292567e-01, 1.199999999999999956e+00, 3.250000000000000000e+00
2.999520086539948949e+00, 5.120983146435446054e-01, 3.449957530233324632e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
3.000075950281404058e+00, 5.776721332148516685e-01, 1.822264998206507003e-01, 1.199999999999999956e+00, 3.750000000000000000e+00
3.000136127998693336e+00, 5.667600000000000415e-01, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
3.500138444718760233e+00, 5.828800000000000647e-01, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
3.500070744786811794e+00, 5.437135989977530670e-01, -2.386574998303847284e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
