   xfusel    yspan       cp      dMACH
   0.997592  0.449281 -0.589169  0.303767
   1.000000  0.449281 -0.582647  0.300089
   0.000000  0.469031 -0.510743  0.260197
   0.002408  0.469031 -0.516192  0.263180
   0.009607  0.469031 -0.532804  0.272313
   0.021530  0.469031 -0.561242  0.288090
   0.038060  0.469031 -0.602321  0.311216
   0.059039  0.469031 -0.656358  0.342295
   0.084265  0.469031 -0.721716  0.380995
   0.113495  0.469031 -0.792332  0.424364
   0.146447  0.469031 -0.854276  0.463927
   0.182803  0.469031 -0.882608  0.482551
   0.222215  0.469031 -0.842339  0.456183
   0.264302  0.469031 -0.701642  0.368971
   0.308658  0.469031 -0.465665  0.235752
   0.354858  0.469031 -0.199784  0.098332
   0.402455  0.469031  0.025675 -0.012477
   0.450991  0.469031  0.200348 -0.097103
   0.500000  0.469031  0.356288 -0.173296
   0.549009  0.469031  0.532500 -0.262139
   0.597545  0.469031  0.720756 -0.363950
   0.645142  0.469031  0.768035 -0.391394
   0.691342  0.469031  0.469774 -0.230019
   0.735698  0.469031 -0.061258  0.029879
   0.777785  0.469031 -0.504112  0.256575
   0.817197  0.469031 -0.737309  0.390425
   0.853553  0.469031 -0.811204  0.436258
   0.886505  0.469031 -0.798752  0.428395
   0.915735  0.469031 -0.749986  0.398151
   0.940961  0.469031 -0.692918  0.363784
   0.961940  0.469031 -0.641071  0.333422
   0.978470  0.469031 -0.599795  0.309782
   0.990393  0.469031 -0.570521  0.293279
   0.997592  0.469031 -0.553204  0.283612
   1.000000  0.469031 -0.547494  0.280440
   0.000000  0.488781 -0.484056  0.245676
   0.002408  0.488781 -0.488936  0.248320
   0.009607  0.488781 -0.503736  0.256370
   0.021530  0.488781 -0.528935  0.270180
   0.038060  0.488781 -0.565010  0.290194
   0.059039  0.488781 -0.611801  0.316613
   0.084265  0.488781 -0.667281  0.348674
   0.113495  0.488781 -0.725320  0.383168
   0.146447  0.488781 -0.772701  0.412132
   0.182803  0.488781 -0.786665  0.420818
   0.222215  0.488781 -0.736315  0.389822
   0.264302  0.488781 -0.595151  0.307150
   0.308658  0.488781 -0.369547  0.184881
   0.354858  0.488781 -0.115479  0.056500
   0.402455  0.488781  0.105440 -0.051136
   0.450991  0.488781  0.279788 -0.135749
   0.500000  0.488781  0.432246 -0.211091
   0.549009  0.488781  0.590743 -0.292635
   0.597545  0.488781  0.735955 -0.372667
   0.645142  0.488781  0.738909 -0.374372
   0.691342  0.488781  0.457858 -0.223987
   0.735698  0.488781 -0.005887  0.002864
   0.777785  0.488781 -0.403229  0.202528
   0.817197  0.488781 -0.628039  0.325910
   0.853553  0.488781 -0.712116  0.375229
   0.886505  0.488781 -0.714979  0.376945
   0.915735  0.488781 -0.680909  0.356681
   0.940961  0.488781 -0.635929  0.330453
   0.961940  0.488781 -0.593167  0.306027
   0.978470  0.488781 -0.558259  0.286426
   0.990393  0.488781 -0.533137  0.272497
   0.997592  0.488781 -0.518154  0.264255
   1.000000  0.488781 -0.513178  0.261529
   0.000000  0.508531 -0.457847  0.231553
   0.002408  0.508531 -0.462183  0.233880
   0.009607  0.508531 -0.475312  0.240949
   0.021530  0.508531 -0.497522  0.252985
   0.038060  0.508531 -0.528990  0.270211
   0.059039  0.508531 -0.569226  0.292553
   0.084265  0.508531 -0.615864  0.318933
   0.113495  0.508531 -0.662780  0.346041
   0.146447  0.508531 -0.697540  0.366529
   0.182803  0.508531 -0.699481  0.367684
   0.222215  0.508531 -0.641544  0.333696
   0.264302  0.508531 -0.501862  0.255348
   0.308658  0.508531 -0.287344  0.142520
   0.354858  0.508531 -0.045883  0.022363
   0.402455  0.508531  0.168679 -0.081753
   0.450991  0.508531  0.340742 -0.165631
   0.500000  0.508531  0.487775 -0.239170
   0.549009  0.508531  0.628224 -0.312678
   0.597545  0.508531  0.737034 -0.373289
   0.645142  0.508531  0.708284 -0.356867
   0.691342  0.508531  0.445356 -0.217681
   0.735698  0.508531  0.037965 -0.018442
   0.777785  0.508531 -0.318385  0.158406
   0.817197  0.508531 -0.532443  0.272114
   0.853553  0.508531 -0.623065  0.323055
   0.886505  0.508531 -0.638255  0.331795
   0.915735  0.508531 -0.616713  0.319418
   0.940961  0.508531 -0.582290  0.299888
   0.961940  0.508531 -0.547588  0.280492
   0.978470  0.508531 -0.518436  0.264410
   0.990393  0.508531 -0.497084  0.252746
   0.997592  0.508531 -0.484218  0.245763
   1.000000  0.508531 -0.479933  0.243445
   0.000000  0.528281 -0.432261  0.217891
   0.002408  0.528281 -0.436097  0.219931
   0.009607  0.528281 -0.447674  0.226106
   0.021530  0.528281 -0.467129  0.236540
   0.038060  0.528281 -0.494411  0.251293
   0.059039  0.528281 -0.528730  0.270068
   0.084265  0.528281 -0.567495  0.291584
   0.113495  0.528281 -0.604663  0.312548
   0.146447  0.528281 -0.628593  0.326228
   0.182803  0.528281 -0.620630  0.321660
   0.222215  0.528281 -0.557245  0.285861
   0.264302  0.528281 -0.420450  0.211623
   0.308658  0.528281 -0.217299  0.107104
   0.354858  0.528281  0.011222 -0.005456
   0.402455  0.528281  0.218023 -0.105681
